Price,Address,City,State,ZipCode,Beds,Baths,Sqft,Acres
1299000,106 TEXAS GRAND CIR,HUNTSVILLE,TX,77340,4,3,4965,0.0
225000,91 ASHWORTH RD,HUNTSVILLE,TX,77320,3,2,1792,0.0
1375000,129 STAGECOACH CIR,HUNTSVILLE,TX,77340,4,4,4196,0.0
844699,47 DANA DR # D,NEW WAVERLY,TX,77358,4,3,2979,0.0
268000,150 EMERY OAK WAY,HUNTSVILLE,TX,77320,3,2,1691,0.0
39999,275 BROADMOOR DR,HUNTSVILLE,TX,77340,0,0,0,0.27
134900,TBD WINDMILL ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
800,617 12TH ST APT 3,HUNTSVILLE,TX,77340,1,1,3018,0.0
465000,104 RANCH RD,NEW WAVERLY,TX,77358,4,2,1832,0.0
134900,7-23-83 SKY OAK LANE,HUNTSVILLE,TX,77340,0,0,0,2.0
112000,6 PARK LN,HUNTSVILLE,TX,77320,0,0,0,1.28
800,617 12TH ST APT 1,HUNTSVILLE,TX,77340,0,0,0,0.18
449000,52 OLSON RD,NEW WAVERLY,TX,77358,4,3,2101,0.0
750000,855 WOOD FARM RD,HUNTSVILLE,TX,77320,3,2,1680,0.0
585000,178 ACORN HILL DR,HUNTSVILLE,TX,77320,3,2,2085,0.0
239990,114 CAPE BUFFALO DR,HUNTSVILLE,TX,77320,4,2,1394,0.0
250000,72 JULIA JUSTICE RD,HUNTSVILLE,TX,77320,0,0,0,10.0
20000,104 BROOKHOLLOW DR,HUNTSVILLE,TX,77340,0,0,0,0.22
239990,112 CAPE BUFFALO DR,HUNTSVILLE,TX,77320,3,2,1337,0.0
856500,1818 FM 247 RD,HUNTSVILLE,TX,77320,0,0,0,57.1
315000,4 WINTERS RANCH RD,NEW WAVERLY,TX,77358,0,0,0,3.0
115000,3B-13-3 SADDLE RIGGE,HUNTSVILLE,TX,77340,0,0,0,2.19
239990,3652 GOLDEN ROD LN,HUNTSVILLE,TX,77340,3,2,1635,0.0
575000,715 OLD PHELPS RD,HUNTSVILLE,TX,77340,0,0,0,9.42
285000,163 ACORN HILL DR,HUNTSVILLE,TX,77320,0,0,0,10.0
2804760,00000 FM 1374,HUNTSVILLE,TX,77340,0,0,0,155.82
74900,5-27-16 FELDSPAR LANE,HUNTSVILLE,TX,77340,0,0,0,2.0
220000,38 HARTLEY LN,HUNTSVILLE,TX,77320,2,1,864,0.0
149900,5-23-29 RIM ROCK ROAD,HUNTSVILLE,TX,77340,0,0,0,1.55
492500,28 HAWTHORNE ST,NEW WAVERLY,TX,77358,0,0,0,6.05
569900,1614 14TH ST,HUNTSVILLE,TX,77340,5,3,3788,0.0
499000,187 FM 2628 RD # B,HUNTSVILLE,TX,77320,3,2,2102,0.0
499500,11 PINE ST,NEW WAVERLY,TX,77358,0,0,0,2.86
749000,1123 ROLLING SPRINGS DR,HUNTSVILLE,TX,77340,4,5,4723,0.0
269990,115 BOBCAT BND,HUNTSVILLE,TX,77320,3,2,1704,0.0
944900,178 FELDSPAR LN,HUNTSVILLE,TX,77340,4,4,3450,0.0
120000,41 GEROME DR,HUNTSVILLE,TX,77320,2,2,1088,0.0
185000,36 LYNELL DR,HUNTSVILLE,TX,77320,3,2,1352,0.0
299900,19 FOREST CREEK DR,HUNTSVILLE,TX,77320,3,2,1608,0.0
440000,26 ACRES QUEEN ANNE WAY,HUNTSVILLE,TX,77340,0,0,0,26.12
300000,411 WOOD FARM RD,HUNTSVILLE,TX,77320,4,6,2128,0.0
32500,6 WILD FOREST CT,HUNTSVILLE,TX,77340,0,0,0,0.23
22700,50 FIREWOOD RD,HUNTSVILLE,TX,77340,0,0,0,0.17
950000,382 HAWTHORNE RD,NEW WAVERLY,TX,77358,4,3,2000,0.0
1200000,105 FM 1696 RD E,HUNTSVILLE,TX,77320,0,0,0,55.7
599999,148 ROGERS RD,NEW WAVERLY,TX,77358,0,0,0,9.07
1990,123 RED DEER WAY,HUNTSVILLE,TX,77320,3,3,1658,0.0
475000,498 MARION LN,NEW WAVERLY,TX,77358,0,0,0,11.53
146000,82-6-2 REMINGTON ROAD,HUNTSVILLE,TX,77340,0,0,0,2.3
499900,412 BROOKHOLLOW DR,HUNTSVILLE,TX,77340,5,4,5436,0.0
129900,14-37-45 LARKSPUR LANE,HUNTSVILLE,TX,77358,0,0,0,1.75
139900,2-11-11 HEREFORD TRAIL,HUNTSVILLE,TX,77340,0,0,0,5.0
18000,68 FIREWOOD RD,HUNTSVILLE,TX,77340,0,0,0,0.12
345000,000 PODRAZA ROAD,NEW WAVERLY,TX,77358,0,0,0,29.5
19900,4 LILY CV,HUNTSVILLE,TX,77340,0,0,0,0.09
159900,215 GRAHAM RD,HUNTSVILLE,TX,77340,3,2,1960,0.0
175000,89 LONESTAR ROAD,NEW WAVERLY,TX,77358,0,0,0,1.5
175000,88 LONESTAR ROAD,NEW WAVERLY,TX,77358,0,0,0,1.5
310000,00 LONE STAR ROAD,NEW WAVERLY,TX,77358,0,0,0,1.5
55000,3348 KNOB OAKS DR,HUNTSVILLE,TX,77340,0,0,0,0.32
224500,000 ALLEN ROAD,HUNTSVILLE,TX,77320,0,0,0,3.28
240000,0 HUNTSMAN LANE,HUNTSVILLE,TX,77340,0,0,0,10.01
699000,1711 PLEASANT ST,HUNTSVILLE,TX,77320,4,6,4771,0.0
390000,1440 GREEN BRIAR DR,HUNTSVILLE,TX,77340,3,2,2268,0.0
149900,0 RED HAWK ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
800,875 FM 1696 RD W STE E6,HUNTSVILLE,TX,77320,1,1,528,0.0
287000,128 BARTON CREEK DR,HUNTSVILLE,TX,77340,4,2,2041,0.0
18000,0 TEJAS DRIVE,HUNTSVILLE,TX,77320,0,0,0,0.26
249900,323 WATKINS ST,HUNTSVILLE,TX,77320,3,2,1525,0.0
1687400,00 IH-45 FEEDER RD NORTH,HUNTSVILLE,TX,77320,0,0,0,236.0
349900,143 WATERS EDGE AT THE 18TH,HUNTSVILLE,TX,77340,5,4,3052,0.0
457500,1801 ROLLINGWOOD DR,HUNTSVILLE,TX,77340,4,3,2731,0.0
415000,661 FM 2550 RD,HUNTSVILLE,TX,77320,4,3,2967,0.0
469900,1812 GREEN BRIAR DR,HUNTSVILLE,TX,77340,3,3,2853,0.0
299000,24.69 +/- ACRES LAKELAND ROAD,HUNTSVILLE,TX,77320,0,0,0,24.69
239000,LOT 4 SH 75 S,HUNTSVILLE,TX,77340,0,0,0,4.44
34000,TBD S RANCH ACRES DRIVE S,HUNTSVILLE,TX,77340,0,0,0,1.6
1300,1500 HIGHWAY 30 E,HUNTSVILLE,TX,77320,0,0,0,1.0
259500,236 OLIVE ST,HUNTSVILLE,TX,77340,3,2,1739,0.0
390000,38 B WOODFARM ROAD ESTATE ROAD,HUNTSVILLE,TX,77320,3,2,1845,0.0
53000,0 FORGOTTEN FOREST DR DRIVE,NEW WAVERLY,TX,77358,0,0,0,0.93
20000,724 OVERBROOK DR,HUNTSVILLE,TX,77340,0,0,0,0.24
325000,1006 AMESBURY CT,HUNTSVILLE,TX,77340,3,3,2037,0.0
278784,503 BLACK BEAR DR,HUNTSVILLE,TX,77320,4,3,2093,0.0
490000,415 BROOKHOLLOW DR,HUNTSVILLE,TX,77340,5,4,3679,0.0
254990,501 BLACK BEAR DR,HUNTSVILLE,TX,77320,4,3,1751,0.0
575000,85 KALYN RD,HUNTSVILLE,TX,77340,2,2,7024,0.0
99900,5-6-263 RANGER ROAD,HUNTSVILLE,TX,77340,0,0,0,1.01
599000,7 ROBINSON SPUR,HUNTSVILLE,TX,77320,0,0,0,14.0
60000,37 HILLSBOROUGH DR,HUNTSVILLE,TX,77340,0,0,0,0.15
289500,37 DOGWOOD LN,HUNTSVILLE,TX,77320,3,3,1552,0.0
306200,111 LAUREL OAK DR,HUNTSVILLE,TX,77320,3,2,1842,0.0
3448500,0 FM 2989,HUNTSVILLE,TX,77320,0,0,0,570.0
194990,304 GRAY WOLF DR,HUNTSVILLE,TX,77320,3,1,1194,0.0
291540,410 BLACK BEAR DR,HUNTSVILLE,TX,77320,4,2,1964,0.0
284990,405 BLACK BEAR DR,HUNTSVILLE,TX,77320,4,3,2039,0.0
425000,500 HIGHWAY 190 E,HUNTSVILLE,TX,77340,0,0,0,1.99
1462000,148 LAKE FALLS RD,HUNTSVILLE,TX,77320,0,0,0,76.77
215000,3 JENKINS SPUR,HUNTSVILLE,TX,77320,3,2,1299,0.0
435000,1002 AMESBURY CT,HUNTSVILLE,TX,77340,4,3,2759,0.0
299900,7 HOGAN LN,HUNTSVILLE,TX,77340,2,3,2257,0.0
375000,2196 GREENTREE DR,HUNTSVILLE,TX,77340,3,3,2500,0.0
278700,230 BARTON CREEK DR,HUNTSVILLE,TX,77340,4,2,1796,0.0
44900,TBD POSSUM WALK LANE,NEW WAVERLY,TX,77358,0,0,0,1.37
1954655,169.97 ACRES STERLING CHAPEL ROAD,HUNTSVILLE,TX,77320,0,0,0,169.97
819000,119 AUTUMN WAY,HUNTSVILLE,TX,77320,0,0,0,11.56
37900,87 HUNTERS CREEK DR,HUNTSVILLE,TX,77340,0,0,0,0.24
25000,36 MICHAEL ST,HUNTSVILLE,TX,77320,0,0,0,0.29
375000,1400 RIVER OAKS DR,HUNTSVILLE,TX,77340,3,3,2500,0.0
117000,518 WALKER ST,WACO,TX,76704,3,1,1064,0.0
120000,7-23-72 SKY OAK LANE,HUNTSVILLE,TX,77340,0,0,0,2.0
